X,Y,Z,MaximumInscribedSphereRadius
64.0025863647,5.22232961655,36.6886863708,2.15736580856
63.9651489258,5.31117010117,36.6610984802,2.14744860469
63.9197120667,5.39577770233,36.6327171326,2.13749660219
63.8731689453,5.48094415665,36.6083068848,2.127970482
63.8302345276,5.56819629669,36.5840644836,2.12090286602
63.7923202515,5.65779542923,36.5603523254,2.11383525005
63.7591400146,5.75057697296,36.5432472229,2.1074739672
63.7293205261,5.84472370148,36.5264320374,2.10236068683
63.6997566223,5.93830776215,36.5063552856,2.09724740647
63.6604003906,6.02814054489,36.4873390198,2.09380109559
63.6187553406,6.11685037613,36.467502594,2.09158724739
63.5827980042,6.20747423172,36.4441680908,2.08798246136
63.5473365784,6.29961538315,36.4294433594,2.08363572018
63.5187416077,6.39553451538,36.426738739,2.07720236494
63.4780769348,6.48598670959,36.4134674072,2.06770194897
63.4313926697,6.57400512695,36.403842926,2.05573092141
63.3862571716,6.66223907471,36.3906173706,2.04422264025
63.3394432068,6.7492313385,36.3753700256,2.03305583663
63.2858123779,6.83312892914,36.3648147583,2.02139286199
63.2330741882,6.91699361801,36.3507041931,2.01190648729
63.1852264404,7.00346803665,36.3347892761,2.00464711729
63.1369400024,7.08896303177,36.3158531189,1.99878410153
63.0901908875,7.1763586998,36.3013687134,1.99327337207
63.0424232483,7.26307821274,36.2864990234,1.9877626426
62.99036026,7.34575462341,36.2651634216,1.98378198245
62.9329986572,7.42456245422,36.2427024841,1.98000108962
62.8810997009,7.50828838348,36.2234382629,1.97812787807
62.82970047,7.59106874466,36.2002754211,1.97625466651
62.7707214355,7.66606998444,36.1706542969,1.97370076674
62.7088737488,7.73956823349,36.1422691345,1.97167444676
62.645778656,7.81348752975,36.1182365417,1.96964812677
62.5808296204,7.88698101044,36.0984535217,1.96745504423
62.5166320801,7.9598736763,36.0745239258,1.96426468925
62.4523658752,8.03164386749,36.04712677,1.96107433427
62.3867492676,8.10232448578,36.0202827454,1.9579066543
62.3227081299,8.17564105988,35.9972419739,1.95548646199
62.2550468445,8.24656963348,35.9772834778,1.95427320655
62.1940002441,8.32310009003,35.9566345215,1.95164608525
62.1323127747,8.40066719055,35.9423332214,1.94978655767
62.0690536499,8.47606468201,35.9261169434,1.9469291605
61.9979362488,8.5423116684,35.9016723633,1.94113686422
61.925819397,8.60978794098,35.8856010437,1.93648792108
61.8549041748,8.67916679382,35.8723106384,1.93192847442
61.7844314575,8.74715614319,35.851764679,1.9286993765
61.7093162537,8.81067848206,35.8335838318,1.92432522916
61.6359024048,8.87732028961,35.8193778992,1.92292905234
61.5654373169,8.94734668732,35.8054389954,1.92189098049
61.495349884,9.01678085327,35.7885017395,1.92085290865
61.4230766296,9.08169078827,35.7653770447,1.92042211273
61.3477630615,9.14234638214,35.7392921448,1.92242486206
61.2718200684,9.20424175262,35.7188568115,1.9252624192
61.1986312866,9.27150440216,35.7078857422,1.92946295367
61.1257362366,9.3382692337,35.6932144165,1.93269342056
61.0495262146,9.40015602112,35.6730766296,1.93567284809
60.9710197449,9.46011447906,35.657207489,1.94008376935
60.8951148987,9.52275943756,35.6386642456,1.94530097821
60.8149795532,9.57992744446,35.621295929,1.95013331038
60.7304801941,9.62916183472,35.6001739502,1.95331706171
60.6476287842,9.67840576172,35.5730743408,1.95641358491
60.5667915344,9.73108959198,35.5466499329,1.96305074983
60.4831008911,9.78081989288,35.5235404968,1.96886703218
60.4033088684,9.83462333679,35.4959068298,1.97666342525
60.3236961365,9.8903131485,35.4721069336,1.98451404098
60.243812561,9.94714832306,35.4521713257,1.99392752212
60.1654510498,10.0054121017,35.4302177429,2.00354988475
60.0860443115,10.0624094009,35.4088058472,2.01345984473
60.0078964233,10.120467186,35.3856697083,2.0240936543
59.9268798828,10.172244072,35.3580970764,2.03033287326
59.8435058594,10.2207670212,35.3313064575,2.03605464067
59.7595558167,10.2690811157,35.3062515259,2.04148968052
59.6745834351,10.3144874573,35.2789268494,2.04521776726
59.5872421265,10.3532161713,35.2491989136,2.04826039241
59.5000076294,10.3936853409,35.2218017578,2.05225099808
59.4140434265,10.4385976791,35.1965789795,2.05712916867
59.325843811,10.4756069183,35.1675224304,2.06109914838
59.2357215881,10.508564949,35.1390571594,2.06513658032
59.1472930908,10.5471792221,35.1126060486,2.07082572365
59.0584907532,10.5815172195,35.0818939209,2.07515438639
58.970123291,10.6197433472,35.0544013977,2.08234844761
58.8809661865,10.6532402039,35.0239830017,2.08882154719
58.7917175293,10.6844778061,34.9912490845,2.09440500329
58.7033119202,10.7195739746,34.9604187012,2.10155576888
58.6137504578,10.7485599518,34.9262924194,2.10717114124
58.5258140564,10.7814245224,34.8916625977,2.11571324688
58.4379119873,10.813615799,34.8562355042,2.12250818069
58.3494529724,10.8461389542,34.8226509094,2.12921232312
58.2606773376,10.8813695908,34.792755127,2.13832524394
58.1730537415,10.9146194458,34.7578887939,2.14629248022
58.0857772827,10.9476051331,34.7216720581,2.1537506988
57.997013092,10.9829311371,34.6915893555,2.16257496288
57.9070663452,11.0129785538,34.6600570679,2.17031923696
57.8174629211,11.0501451492,34.6345367432,2.17818397729
57.7274246216,11.0816106796,34.6041603088,2.18638504206
57.637348175,11.1107311249,34.5721549988,2.19504027011
57.5476417542,11.1480894089,34.5475616455,2.2043674124
57.4574928284,11.1834993362,34.5221443176,2.21501631003
57.367275238,11.2173891068,34.4952697754,2.2256545566
57.2771224976,11.2523908615,34.4693756104,2.23536454859
57.1854248047,11.2836885452,34.4444885254,2.24502875803
57.0947189331,11.3179283142,34.4198913574,2.25282751589
57.0016212463,11.3454618454,34.3955001831,2.2596807984
56.9095802307,11.3744535446,34.3691062927,2.26610184193
56.8177375793,11.4052658081,34.3441314697,2.27254198485
56.7251396179,11.4331531525,34.3183860779,2.2777403291
56.6316947937,11.4599142075,34.2946510315,2.28123227723
56.5368766785,11.4824705124,34.2719039917,2.28319720128
56.4433860779,11.5065259933,34.2456817627,2.2853239558
56.3498344421,11.5311031342,34.2201042175,2.28652481059
56.2563362122,11.5533847809,34.1922340393,2.28561820271
56.1635704041,11.5749578476,34.1616363525,2.28335304427
56.0699729919,11.5930995941,34.1311454773,2.28037785023
55.977481842,11.6131601334,34.0987091064,2.27714168894
55.8841056824,11.6300678253,34.0668945312,2.2744244168
55.7907104492,11.6513023376,34.0380363464,2.27319054133
55.6970062256,11.6707954407,34.0088806152,2.27128561229
55.6038360596,11.6876468658,33.9764862061,2.27071961043
55.5105323792,11.7043056488,33.9444770813,2.27116215444
55.4172554016,11.723484993,33.9138069153,2.27171635098
55.3241271973,11.7431697845,33.8828468323,2.27227054753
55.2311706543,11.7615852356,33.8504486084,2.27444087943
55.1379547119,11.7805786133,33.8194236755,2.27704926564
