X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-5.353243350982666 13.191549301147461 -42.92986297607422 0.4150914215258183 5894.0 5894.0 0.0
-5.355235576629639 13.190505981445312 -42.92937088012695 0.4160346556919349 5658.0 5894.0 0.9960000000000008
-5.851269721984863 12.930601119995117 -42.80696105957031 0.6508999630550066 5658.0 5658.0 0.0
-5.852778911590576 12.931084632873535 -42.805362701416016 0.6509265703408148 5886.0 5376.0 0.9280000000000007
-5.856256008148193 12.929203987121582 -42.80459976196289 0.6508945967516988 5892.0 5376.0 0.9960000000000008
-6.711644172668457 12.446979522705078 -42.60105895996094 0.6422793186930393 4886.0 4886.0 0.0
-6.7138447761535645 12.44732666015625 -42.59809112548828 0.6422574673816868 5655.0 5655.0 0.0
-7.575995922088623 11.922379493713379 -42.40675354003906 0.644060765150234 5651.0 5651.0 0.0
-7.5863037109375 11.925323486328125 -42.396175384521484 0.6443821735540343 5630.0 5630.0 0.0
-8.448325157165527 11.340335845947266 -42.23982620239258 0.6484834747264437 5636.0 5636.0 0.0
-8.518508911132812 11.354738235473633 -42.17052459716797 0.6602505539967101 5639.0 5639.0 0.0
-9.233183860778809 10.658637046813965 -42.165122985839844 0.5951761795313774 5111.0 5111.0 0.0
-9.407842636108398 10.63142204284668 -42.03569412231445 0.6403454105639752 5629.0 5629.0 0.0
-9.452122688293457 10.563886642456055 -42.06615447998047 0.633762997606465 5609.0 5832.0 0.09600000000000006
-9.815380096435547 9.875536918640137 -42.30269241333008 0.5648799409329852 5832.0 5832.0 0.0
-9.816433906555176 9.875154495239258 -42.30217742919922 0.5647733095392524 2321.0 5832.0 0.9920000000000008
-9.947123527526855 9.827757835388184 -42.23837661743164 0.5515510167163807 2321.0 2321.0 0.0
-10.371845245361328 9.0881986618042 -42.396724700927734 0.5733763121716563 5827.0 5827.0 0.0
-10.462326049804688 9.074920654296875 -42.32612991333008 0.5516771871775843 5374.0 5374.0 0.0
-11.076447486877441 8.429183959960938 -42.203548431396484 0.5898213115434643 5000.0 5000.0 0.0
-11.091556549072266 8.43036937713623 -42.187801361083984 0.5885817497068682 4952.0 4952.0 0.0
-11.775424003601074 7.804593086242676 -41.94816207885742 0.6075668106778278 5367.0 5367.0 0.0
-11.77980899810791 7.805339336395264 -41.94259262084961 0.6074091800837875 4480.0 4480.0 0.0
-12.474316596984863 7.166651725769043 -41.65347671508789 0.6058773360660202 5068.0 5068.0 0.0
-12.47627067565918 7.166995525360107 -41.6504020690918 0.6057922170062595 5582.0 5810.0 0.5080000000000003
-13.154938697814941 6.517361640930176 -41.324981689453125 0.6005384580193794 4786.0 4786.0 0.0
-13.156078338623047 6.517296314239502 -41.32155990600586 0.6004197516384687 5802.0 5802.0 0.0
-13.811664581298828 5.855632305145264 -40.96328353881836 0.5930967191000295 5574.0 5574.0 0.0
-13.812336921691895 5.855522155761719 -40.960453033447266 0.593014831754608 5794.0 5794.0 0.0
-14.43730354309082 5.182870388031006 -40.56909942626953 0.5892591020420597 4864.0 4864.0 0.0
-14.437935829162598 5.183091163635254 -40.5677375793457 0.5892581421713888 4858.0 4858.0 0.0
-15.028071403503418 4.502011775970459 -40.143089294433594 0.5894240372643209 5204.0 5204.0 0.0
-15.028158187866211 4.5020365715026855 -40.14278030395508 0.5894187418333255 5345.0 5345.0 0.0
-15.030373573303223 4.499281406402588 -40.14094543457031 0.5894442688543599 5781.0 5345.0 0.9960000000000008
-15.581953048706055 3.813223123550415 -39.68370056152344 0.5958004970919131 5781.0 5781.0 0.0
-15.58218765258789 3.812842607498169 -39.683937072753906 0.595817090781671 5778.0 4557.0 0.25200000000000017
-16.096426010131836 3.1212995052337646 -39.190185546875 0.6001426418835077 5770.0 5770.0 0.0
-16.096464157104492 3.1212048530578613 -39.19023132324219 0.6001471477064253 5072.0 5770.0 0.9480000000000007
-16.097148895263672 3.1194775104522705 -39.191043853759766 0.6002292923242307 5072.0 5072.0 0.0
-16.568281173706055 2.4463086128234863 -38.666717529296875 0.5939962132969576 4753.0 4753.0 0.0
-16.570222854614258 2.4409797191619873 -38.66868591308594 0.5942333795138477 3800.0 1806.0 0.5600000000000004
-17.018638610839844 1.801592469215393 -38.09621047973633 0.599071756995325 889.0 889.0 0.0
-17.023433685302734 1.8046091794967651 -38.086917877197266 0.5985057390820248 5766.0 5766.0 0.0
-17.48326873779297 1.247127652168274 -37.44825744628906 0.5910416906236645 5767.0 5767.0 0.0
-17.497100830078125 1.2568436861038208 -37.431026458740234 0.5893147231218552 5283.0 5319.0 0.2600000000000002
-17.989246368408203 0.827792763710022 -36.729949951171875 0.6005681587139958 5760.0 5760.0 0.0
-17.98988914489746 0.819860577583313 -36.72846984863281 0.6009246515407012 3997.0 3847.0 0.7680000000000006
-17.999704360961914 0.8138253092765808 -36.71735763549805 0.6008936509403102 4128.0 3749.0 0.016
-18.503908157348633 0.46199965476989746 -35.97276306152344 0.6040670360643696 4769.0 4769.0 0.0
-18.513185501098633 0.4713321030139923 -35.962039947509766 0.6041848750681111 5507.0 5507.0 0.0
-18.965999603271484 0.05460323020815849 -35.17252731323242 0.587242382319722 4449.0 4449.0 0.0
-18.971899032592773 0.06216660514473915 -35.16124725341797 0.5878099161388913 5499.0 5499.0 0.0
-18.976078033447266 0.05868059769272804 -35.15441131591797 0.5880510087206616 5498.0 5497.0 0.008
-19.330842971801758 -0.43702220916748047 -34.367435455322266 0.6020683294444209 5496.0 5496.0 0.0
-19.331335067749023 -0.438009113073349 -34.36759567260742 0.6021760390493304 5288.0 5288.0 0.0
-19.331348419189453 -0.43804627656936646 -34.36759948730469 0.6021771528772281 5720.0 5288.0 0.9960000000000008
-19.33470916748047 -0.44729748368263245 -34.368247985839844 0.6024544960237698 5720.0 5720.0 0.0
-19.6184024810791 -0.9655757546424866 -33.572635650634766 0.6056498641343869 5724.0 5724.0 0.0
-19.63152313232422 -0.9805353879928589 -33.57251739501953 0.606405984871392 4624.0 4624.0 0.0
-19.881622314453125 -1.4822701215744019 -32.766807556152344 0.6184646685214708 3758.0 3758.0 0.0
-19.882991790771484 -1.4855633974075317 -32.76664352416992 0.6186514802871865 3767.0 3767.0 0.0
-20.110517501831055 -1.972377896308899 -31.939838409423828 0.6382833852569582 5711.0 5711.0 0.0
-20.10518455505371 -1.9685498476028442 -31.92201805114746 0.6389603886355356 4736.0 4736.0 0.0
-20.30536460876465 -2.437760829925537 -31.096078872680664 0.6649012856881079 5461.0 5461.0 0.0
-20.305267333984375 -2.437778949737549 -31.09600257873535 0.6649239110040833 5698.0 4734.0 0.004
-20.30136489868164 -2.4377307891845703 -31.088083267211914 0.6656247264660723 4735.0 4735.0 0.0
-20.46784019470215 -2.879789352416992 -30.284862518310547 0.7226914266945687 5692.0 5692.0 0.0
-20.464447021484375 -2.926856756210327 -30.267480850219727 0.7263375698096771 5688.0 5688.0 0.0
-20.462446212768555 -2.934187889099121 -30.26567840576172 0.7256849441529443 4917.0 4917.0 0.0
-20.570798873901367 -3.219923496246338 -29.639177322387695 0.6865539077260053 5018.0 5018.0 0.0
-20.570924758911133 -3.220257043838501 -29.63841438293457 0.6869413107217723 5143.0 5018.0 0.9800000000000008
-20.577051162719727 -3.2365987300872803 -29.60098648071289 0.7059240575143574 5143.0 5143.0 0.0
-20.58157730102539 -3.2536847591400146 -29.57233238220215 0.7210893154471524 5435.0 5435.0 0.0
-20.598669052124023 -3.307499885559082 -29.478803634643555 0.7775271434268314 5686.0 5686.0 0.0
-20.60182762145996 -3.3134500980377197 -29.4749755859375 0.7786093484255276 4583.0 5684.0 0.9840000000000008
-20.676742553710938 -3.4533944129943848 -29.38105010986328 0.8175154764840706 4567.0 4567.0 0.0
-20.677879333496094 -3.583148956298828 -28.96584129333496 0.743210927670217 4818.0 4818.0 0.0
-20.673948287963867 -3.6111326217651367 -28.903453826904297 0.7529991359711452 3747.0 5014.0 0.1520000000000001
-20.681922912597656 -3.6517577171325684 -28.803083419799805 0.7732470675005543 5014.0 5265.0 0.7240000000000005
-20.68431282043457 -3.665579319000244 -28.77201271057129 0.7796271293208842 5265.0 5265.0 0.0
-20.688892364501953 -3.6963343620300293 -28.73920249938965 0.7830065251430139 5427.0 5264.0 0.02
-20.689163208007812 -3.6976194381713867 -28.738008499145508 0.7830542202564865 5427.0 5426.0 0.028
-20.69693374633789 -3.7303595542907715 -28.706144332885742 0.7847411558694846 5679.0 5426.0 0.32800000000000024
-20.69807243347168 -3.7358975410461426 -28.70055389404297 0.7856222648578569 5679.0 5678.0 0.012
-20.749786376953125 -3.9195010662078857 -28.506650924682617 0.8425318096350158 5678.0 5678.0 0.0
-20.794904708862305 -3.9894893169403076 -28.417938232421875 0.890777369592998 5148.0 4729.0 0.8360000000000006
-20.78483009338379 -4.009612083435059 -28.305522918701172 0.8752647599908998 5262.0 5262.0 0.0
-20.784828186035156 -4.009615898132324 -28.305469512939453 0.8752595501404725 5263.0 5262.0 0.9760000000000008
-20.784770965576172 -4.0097808837890625 -28.30328369140625 0.8750476828897619 5263.0 5263.0 0.0
-20.862253189086914 -4.170422077178955 -27.848718643188477 0.8214637549272185 4700.0 4700.0 0.0
-20.88669776916504 -4.297012805938721 -27.627365112304688 0.8929301340618487 4900.0 4900.0 0.0
-20.887168884277344 -4.298160552978516 -27.625654220581055 0.8936035881297584 5139.0 4900.0 0.9760000000000008
-20.906320571899414 -4.3448381423950195 -27.556089401245117 0.920990720224752 5139.0 5139.0 0.0
-20.90354347229004 -4.353990077972412 -27.512601852416992 0.9181539555508269 5138.0 5134.0 0.6280000000000004
-20.899141311645508 -4.364814758300781 -27.479528427124023 0.9144933000485209 5134.0 5258.0 0.06400000000000003
-20.863967895507812 -4.551220893859863 -27.045076370239258 0.9529339527776832 5256.0 5256.0 0.0
-20.942155838012695 -4.699053764343262 -26.791547775268555 0.9961700044788211 1035.0 2825.0 0.1440000000000001
-20.888912200927734 -4.888378143310547 -26.473203659057617 1.0264334958771444 3119.0 3119.0 0.0
-20.88897132873535 -4.888993263244629 -26.47245979309082 1.02662255049627 3118.0 3119.0 0.9960000000000008
-20.903501510620117 -5.042215824127197 -26.28702163696289 1.0736971506585429 3118.0 3118.0 0.0
-20.909530639648438 -5.1207733154296875 -26.219867706298828 1.0958388497456928 3122.0 3122.0 0.0
-20.910045623779297 -5.162379264831543 -26.1964111328125 1.09860584664358 3416.0 3414.0 0.6200000000000004
-20.912450790405273 -5.20878267288208 -26.165754318237305 1.1001273982246857 3732.0 3732.0 0.0
-20.93720817565918 -5.364964485168457 -26.061227798461914 1.1188721413359395 3731.0 3733.0 0.2480000000000002
-20.947078704833984 -5.39884614944458 -26.039758682250977 1.12279670845745 3731.0 3731.0 0.0
-20.95088768005371 -5.417322158813477 -26.03011131286621 1.1250190601814076 3729.0 3729.0 0.0
-20.97641944885254 -5.56057596206665 -25.91783905029297 1.0918691581807711 3402.0 3402.0 0.0
-20.97641372680664 -5.560776233673096 -25.917694091796875 1.0918323047101204 3409.0 3402.0 0.9960000000000008
-20.975183486938477 -5.610649585723877 -25.881750106811523 1.0826557905180827 3409.0 3409.0 0.0
-21.005842208862305 -6.088329792022705 -25.620990753173828 1.0807992143638634 2165.0 2165.0 0.0
-21.01699447631836 -6.189117908477783 -25.599262237548828 1.0816810783859143 3104.0 3104.0 0.0
-21.01702880859375 -6.189359664916992 -25.599212646484375 1.0816993953231124 3718.0 3104.0 0.9960000000000008
-21.025522232055664 -6.249517917633057 -25.586702346801758 1.0862603126854518 3718.0 3718.0 0.0
-21.034502029418945 -6.332630634307861 -25.56686782836914 1.0948699622543154 3406.0 2881.0 0.1440000000000001
-21.076871871948242 -6.621274471282959 -25.420682907104492 1.112201590240445 3404.0 3404.0 0.0
-21.075403213500977 -6.689868927001953 -25.388914108276367 1.129263928161998 3709.0 3709.0 0.0
-21.089563369750977 -6.8242387771606445 -25.361692428588867 1.1212674845365695 2162.0 2162.0 0.0
-21.112451553344727 -7.036586761474609 -25.27255630493164 1.105617560792327 3696.0 3696.0 0.0
-21.147062301635742 -7.311500072479248 -25.153329849243164 1.1432660791095484 3701.0 3701.0 0.0
-21.159137725830078 -7.425408363342285 -25.108034133911133 1.1177399143895883 2873.0 2873.0 0.0
-21.184534072875977 -7.735164642333984 -24.976369857788086 1.1060473804854598 3393.0 3393.0 0.0
-21.189043045043945 -7.798433303833008 -24.949663162231445 1.1147299023424995 3392.0 3394.0 0.6440000000000005
-21.19009017944336 -7.88315486907959 -24.931806564331055 1.1145891411968991 2875.0 3387.0 0.5600000000000004
-21.290597915649414 -8.296660423278809 -24.708349227905273 1.0729878240746236 3094.0 3094.0 0.0
-21.319412231445312 -8.424715995788574 -24.660564422607422 1.0834269856761756 1159.0 1159.0 0.0
-21.467660903930664 -8.781426429748535 -24.397634506225586 1.1128717362080585 3090.0 3090.0 0.0
-21.541963577270508 -8.880376815795898 -24.268686294555664 1.1262196652587022 3089.0 3089.0 0.0
-21.648155212402344 -9.117210388183594 -24.086441040039062 1.1369713470042755 2638.0 2638.0 0.0
-21.68135643005371 -9.178399085998535 -24.02985382080078 1.1477874132614099 1172.0 1802.0 0.9360000000000007
-21.768543243408203 -9.836256980895996 -23.81060028076172 1.1391636673041692 1167.0 1167.0 0.0
-21.75389289855957 -9.990147590637207 -23.81170654296875 1.1347836943675964 3080.0 3080.0 0.0
-21.73736000061035 -10.418964385986328 -23.748106002807617 1.1637252165467618 3646.0 3646.0 0.0
