X,Y,Z,MaximumInscribedSphereRadius
27.9851531982,2.70091223717,19.8145046234,1.45277120385
28.0115242004,2.79601788521,19.8311576843,1.43435803426
28.042383194,2.89048504829,19.8448677063,1.41896460716
28.0762443542,2.98426485062,19.8540916443,1.40963783417
28.1156101227,3.07643461227,19.8593616486,1.40123619521
28.153503418,3.16849780083,19.8705615997,1.39534608294
28.1869258881,3.2631688118,19.8730773926,1.39496434706
28.2205123901,3.35785961151,19.8727893829,1.39482275333
28.2576179504,3.45097708702,19.8714504242,1.3946811596
28.3015975952,3.54092097282,19.8707351685,1.39510678384
28.3503551483,3.62824821472,19.8653049469,1.39838860211
28.3942317963,3.71786642075,19.8549976349,1.4024861178
28.4386901855,3.80681633949,19.841632843,1.40658363349
28.4875297546,3.89289307594,19.8257350922,1.41513755428
28.5379829407,3.97729301453,19.8066387177,1.42433339519
28.5919094086,4.05942821503,19.7864665985,1.43353574572
28.6468830109,4.14073610306,19.7644062042,1.44667781008
28.6977291107,4.22312688828,19.7384109497,1.46032822783
28.739030838,4.30843019485,19.7063655853,1.47733341778
28.7754745483,4.39514064789,19.6710910797,1.49647692537
28.8190860748,4.47931957245,19.6389808655,1.51528832197
28.8655319214,4.56145572662,19.6049690247,1.531376966
28.9143848419,4.63819789886,19.5625457764,1.54692777687
28.9636669159,4.70871305466,19.5111751556,1.55844056165
28.9959106445,4.78201532364,19.451051712,1.56688564306
29.0246295929,4.85570001602,19.3893451691,1.57539251215
29.0486087799,4.93368816376,19.3314113617,1.58450748474
29.0580310822,5.01461553574,19.2731456757,1.58914771162
29.0791530609,5.07905673981,19.1993179321,1.58500563387
29.0974674225,5.1387424469,19.1208763123,1.58012005125
29.1149101257,5.19502735138,19.0397605896,1.57539199406
29.1249809265,5.2537522316,18.9592475891,1.57016633745
29.1365509033,5.30209302902,18.8723926544,1.55422360061
29.1398391724,5.34550905228,18.7824211121,1.53890661816
29.1457023621,5.38085222244,18.6885070801,1.52358963571
29.1544208527,5.41637516022,18.5947589874,1.50827265326
29.1665019989,5.45624399185,18.5035476685,1.49831546538
29.1813755035,5.492228508,18.4112663269,1.48965125616
29.1970882416,5.53446054459,18.3216838837,1.48173787894
29.2140674591,5.56315803528,18.2272129059,1.47222967636
29.2391433716,5.59080982208,18.1340751648,1.46152313183
29.2727088928,5.6112780571,18.0419235229,1.44913694373
29.2978820801,5.62891626358,17.9465141296,1.43720146872
29.3160934448,5.64009189606,17.84856987,1.42473604079
29.3331546783,5.65052938461,17.7504405975,1.41307493766
29.3495941162,5.66689538956,17.6528644562,1.4029776926
29.361995697,5.67389965057,17.5536689758,1.39706897796
29.3786659241,5.67710542679,17.4548473358,1.3916842034
29.3975963593,5.67894792557,17.3564395905,1.38619421871
29.4148712158,5.6825056076,17.2577648163,1.38482708919
29.435295105,5.68115711212,17.1597557068,1.38469470836
29.449420929,5.67785692215,17.0605773926,1.38577075763
29.4614868164,5.66285228729,16.9622535706,1.38484643527
29.4734172821,5.64812898636,16.8638973236,1.383127451
