X,Y,Z,MaximumInscribedSphereRadius
18.9953403473,4.46693611145,47.0789833069,2.4696208216
19.0330066681,4.54957866669,47.0272140503,2.4856766592
19.0641937256,4.62478256226,46.9788551331,2.50037796543
19.1063957214,4.7034945488,46.9346504211,2.51127346735
19.1496677399,4.78559541702,46.8940925598,2.51963130967
19.1991844177,4.86505794525,46.8585166931,2.52413163792
19.2507076263,4.94234466553,46.8213424683,2.5276671623
19.2975578308,5.01775312424,46.7753105164,2.5327393563
19.3452281952,5.09145545959,46.7271728516,2.53684047187
19.3979110718,5.1629447937,46.6811561584,2.53883543527
19.4531345367,5.23294687271,46.6356773376,2.54078296686
19.5082378387,5.30247020721,46.5893936157,2.5441473971
19.563287735,5.37065982819,46.54114151,2.5480278709
19.6183490753,5.43634462357,46.4895324707,2.55329202009
19.6749954224,5.50040817261,46.437538147,2.55805491346
19.7362823486,5.56580543518,46.3958358765,2.56224852955
19.7961730957,5.63013792038,46.3501586914,2.56641841532
19.8508472443,5.69108295441,46.2900009155,2.57096276299
19.9066505432,5.75091648102,46.2287521362,2.57737291692
19.964673996,5.8107585907,46.1732788086,2.5852836166
20.0260696411,5.86994552612,46.1208572388,2.59100788522
20.0873947144,5.9260225296,46.0650253296,2.59657201485
20.1461143494,5.97988080978,46.0044212341,2.60240840736
20.2052249908,6.0298948288,45.9411888123,2.60796169627
20.2726535797,6.07365894318,45.8815994263,2.60762821108
20.3416309357,6.11850690842,45.8245239258,2.60799573216
20.4094810486,6.16390037537,45.7667503357,2.6086874776
20.4778308868,6.20510625839,45.706363678,2.60909821901
20.5475978851,6.24219894409,45.6448898315,2.60950896041
20.6190738678,6.27807331085,45.5847740173,2.60961757758
20.6907272339,6.31674623489,45.5265159607,2.61042455888
20.7610588074,6.35479259491,45.4664421082,2.61123154017
20.8290214539,6.3893032074,45.4016952515,2.61602245563
20.896238327,6.42321681976,45.3357696533,2.62150766554
20.9650936127,6.45953989029,45.2724838257,2.62385002538
21.0362281799,6.49047374725,45.208984375,2.62499448728
21.1097545624,6.50618124008,45.1433105469,2.61829457122
21.1866226196,6.51860427856,45.0805168152,2.6055715882
21.2619590759,6.53096342087,45.015914917,2.59358826159
21.3348789215,6.54181241989,44.948387146,2.58351999234
