X,Y,Z,MaximumInscribedSphereRadius
37.7327003479,17.5956382751,16.9210891724,1.62473261467
37.7391586304,17.6801795959,16.8854351044,1.6291874116
37.7429466248,17.7803897858,16.8450775146,1.63273434769
37.7492408752,17.8729248047,16.8049907684,1.63734038115
37.7570610046,17.967300415,16.7688674927,1.64274413263
37.7644767761,18.059299469,16.7288684845,1.64680325064
37.7746620178,18.1510620117,16.6888637543,1.65013578195
37.7781600952,18.2402915955,16.6426029205,1.64730788
37.7727508545,18.3289089203,16.5952739716,1.63902348163
37.7669334412,18.414894104,16.5433921814,1.63082489459
37.7604980469,18.5013713837,16.4924049377,1.6214922336
37.7524261475,18.5853862762,16.4377326965,1.6121210293
37.7467880249,18.6708755493,16.3850002289,1.60169533857
37.7445793152,18.7571353912,16.3333435059,1.59266261121
37.7401390076,18.8442630768,16.2833538055,1.58432474289
37.7396125793,18.9318332672,16.2338943481,1.57858256066
37.7413597107,19.0222034454,16.1898345947,1.57409777527
37.7441482544,19.1125965118,16.1457977295,1.56882973305
37.7461433411,19.2031612396,16.1020908356,1.56380031197
37.7498321533,19.2937717438,16.0585479736,1.55849201285
37.7486495972,19.3859977722,16.0178661346,1.55552833193
37.7566070557,19.4802341461,15.9841012955,1.55253905572
37.7596855164,19.5746574402,15.9493980408,1.54926208037
37.7542724609,19.66796875,15.912071228,1.54721154286
37.7540740967,19.7620697021,15.8765926361,1.5440164079
37.7501716614,19.8561477661,15.8411445618,1.54321878878
37.7404708862,19.9486598969,15.8030071259,1.54321535173
37.7285919189,20.0394897461,15.7612218857,1.54367722205
37.7197761536,20.1315860748,15.721701622,1.5462524724
37.7053947449,20.220790863,15.677365303,1.55008648373
37.6945610046,20.3115596771,15.6356611252,1.55457242475
37.6847229004,20.4049663544,15.599609375,1.55906592633
37.6797142029,20.4990997314,15.5643215179,1.56717759267
37.6752662659,20.5949325562,15.5341110229,1.57572403028
37.6747245789,20.6909999847,15.5035123825,1.5846222768
37.6604499817,20.7871551514,15.4780826569,1.58523767806
37.6375465393,20.8812904358,15.4502344131,1.57675650726
37.5927658081,20.9693202972,15.4307336807,1.55749618013
37.5594596863,21.0605010986,15.4062232971,1.5407476527
37.5105361938,21.1463165283,15.3851699829,1.51865582377
37.4661521912,21.2354393005,15.3710603714,1.50148266401
37.4219360352,21.3237094879,15.3518247604,1.48489784209
37.3736076355,21.4119167328,15.3361711502,1.464193733
37.3050727844,21.4825992584,15.3238801956,1.43375272566
37.233921051,21.5536060333,15.31985569,1.39570394264
37.1594772339,21.621307373,15.3214931488,1.35626819789
37.0841331482,21.6869850159,15.3330888748,1.31508016734
37.0048027039,21.747959137,15.3425006866,1.27420188993
36.9231719971,21.8045330048,15.3541250229,1.22900957447
36.8381233215,21.8549003601,15.3709630966,1.18102239132
36.7658042908,21.9245967865,15.3770256042,1.15500953459
36.6867790222,21.9831199646,15.3953952789,1.1181405726
36.6031913757,22.0307331085,15.4286422729,1.08015480069
36.5213508606,22.0791530609,15.4611387253,1.04560973991
36.4355659485,22.1245822906,15.4880113602,1.01293375888
36.3494377136,22.1630344391,15.5216064453,0.976018581758
36.2649726868,22.1827468872,15.5749130249,0.936782148362
36.1824073792,22.1998348236,15.6298332214,0.891292950398
