X,Y,Z,MaximumInscribedSphereRadius
14.3849525452,4.02614927292,20.8684062958,1.34314320167
14.3945102692,4.12902545929,20.8711299896,1.34181288302
14.4030714035,4.22670793533,20.8700962067,1.34124808638
14.4089031219,4.32653474808,20.8725261688,1.34245578795
14.4147396088,4.42699575424,20.876531601,1.34459468458
14.4225502014,4.52717256546,20.8803062439,1.34495168659
14.4291715622,4.62733364105,20.8850231171,1.34532030687
14.4324626923,4.72774028778,20.8893184662,1.34526680668
14.4329910278,4.82813739777,20.8943881989,1.34558587852
14.4316263199,4.92868804932,20.892490387,1.34670748088
14.4291782379,5.02911758423,20.8955783844,1.34931281151
14.4219179153,5.12945652008,20.892906189,1.3530305299
14.4131088257,5.2296128273,20.8944396973,1.35642737242
14.4113702774,5.33012056351,20.8975143433,1.35608795989
14.4166736603,5.43054771423,20.9000530243,1.35401492828
14.4248218536,5.53060770035,20.9044265747,1.34914612834
14.4288110733,5.63104057312,20.9011497498,1.34201655856
14.427271843,5.73143291473,20.8967590332,1.33380942118
14.4318561554,5.83136510849,20.8860969543,1.3217387813
14.4328393936,5.93195295334,20.8838863373,1.31634461416
14.4283332825,6.03213834763,20.8773784637,1.3095825032
14.4280052185,6.13249921799,20.8705596924,1.30484890315
14.4290342331,6.23305988312,20.8696727753,1.30292586764
14.4288158417,6.33352899551,20.8680706024,1.30149873671
14.424571991,6.43400096893,20.8672542572,1.3016790161
14.4246778488,6.53452587128,20.8720932007,1.30345105342
14.4320459366,6.63477993011,20.8751735687,1.3027183553
14.4442186356,6.73460006714,20.8727588654,1.30097250539
14.464217186,6.83319330215,20.8745937347,1.29858726905
14.4787664413,6.93226528168,20.871509552,1.29547070213
14.4767475128,7.03329992294,20.8694419861,1.29155273351
14.4925203323,7.13206005096,20.8658638,1.28646108429
14.4935617447,7.23243665695,20.8586235046,1.27992556109
14.4973726273,7.33289051056,20.8580875397,1.27400874525
14.5020332336,7.43315649033,20.8528728485,1.26681650967
14.5021505356,7.53369903564,20.8512573242,1.25799505005
14.5104579926,7.63385486603,20.8484382629,1.25087161418
14.520316124,7.73376703262,20.8448810577,1.24394897995
14.532084465,7.83356237411,20.8428554535,1.23500285435
14.5440368652,7.93312835693,20.8337535858,1.2265852992
14.5476732254,8.03349113464,20.83086586,1.21715218718
14.5479412079,8.13391876221,20.8237266541,1.20731272743
14.5538320541,8.23353767395,20.8111743927,1.1989740711
14.5524263382,8.3339138031,20.8051128387,1.19209161354
14.5594024658,8.43382740021,20.7955245972,1.18644171087
14.5635261536,8.5340795517,20.7891616821,1.18038107598
14.564371109,8.63459777832,20.7798442841,1.17885874185
14.5712890625,8.73418140411,20.767988205,1.17733640772
14.588429451,8.83270835876,20.7588863373,1.17708083186
14.5965156555,8.93241024017,20.7476959229,1.17848556943
14.6045312881,9.03243350983,20.74010849,1.18125327508
14.6073865891,9.13203048706,20.7270545959,1.18442799122
14.6070823669,9.23237228394,20.7205905914,1.18486280708
